Id,label,Count,Fname,Mname,Lname
2320,Jeffrey Bloechl,1,Jeffrey,,Bloechl
307,Hans Blom,2,Hans,,Blom
1626,Harold Bloom,2,Harold,,Bloom
1563,Heinz Bluhm,2,Heinz,,Bluhm
967,Herman Blumberg,2,Herman,,Blumberg
3111,Bernhard Blumenkranz,1,Bernhard,,Blumenkranz
1806,Carla Boccato,2,Carla,,Boccato
828,Bernard Bocher,2,Bernard,,Bocher
828,Bernard Bochner,1,Bernard,,Bochner
2755,Jan Bodenson,1,Jan,,Bodenson
124,Miriam Bodian,3,Miriam,,Bodian
1535,Gideon Bohak,2,Gideon,,Bohak
3540,Perek Even Bohen,1,Perek,Even,Bohen
3255,Yehuda Menahem Boim,1,Yehuda,Menahem,Boim
396,Niels Bokhove,2,Niels,,Bokhove
40,Baruch Bokser,2,Baruch,,Bokser
40,Baruch M. Bokser,1,Baruch,M.,Bokser
2294,Ben Zion Bokser,1,Ben,Zion,Bokser
1215,Reuven Bonfil,2,Reuven,,Bonfil
564,Robert Bonfil,1,Robert,,Bonfil
564,Roberto Bonfil,2,Roberto,,Bonfil
874,Hermann Bonitz,2,Hermann,,Bonitz
529,James Boon,2,James,,Boon
2344,Alberto Boralevi,1,Alberto,,Boralevi
2065,Elizabeth Borgwardt,2,Elizabeth,,Borgwardt
3030,Malgorzata Borkowska,1,Malgorzata,,Borkowska
1734,Leah Bornstein,2,Leah,,Bornstein
1205,Ber Borokhov,2,Ber,,Borokhov
3580,Agostino Borromeo,1,Agostino,,Borromeo
926,Maros Borsky,2,Maros,,Borsky
2129,Gerrit Bos,1,Gerrit,,Bos
1913,Atef Botros,2,Atef,,Botros
1951,Alain Boureau,2,Alain,,Boureau
2742,Dominique Bourel,1,Dominique,,Bourel
3025,Wilhelm Bousset,1,Wilhelm,,Bousset
3452,John Bowker,1,John,,Bowker
3559,Steven Bowman,1,Steven,,Bowman
2555,Charles Ralph Boxer,1,Charles,Ralph,Boxer
3573,Diana Boxer,1,Diana,,Boxer
3413,Daniel Boyarin,1,Daniel,,Boyarin
3017,David Boyarin,1,David,,Boyarin
161,Jonathan Boyarin,1,Jonathan,,Boyarin
2630,Mary Boyce,1,Mary,,Boyce
2083,Jutta Braden,2,Jutta,,Braden
268,Zachary Braiterman,2,Zachary,,Braiterman
3321,David Brakke,1,David,,Brakke
1274,Yizhak Brand,2,Yizhak,,Brand
1661,Marcus Brann,2,Marcus,,Brann
2235,Ross Brann,1,Ross,,Brann
3126,Gabriel Le Bras,1,Gabriel,Le,Bras
3290,Yosef Braslavi,1,Yosef,,Braslavi
1665,Fernand Braudel,2,Fernand,,Braudel
1339,Erich Brauer,2,Erich,,Brauer
